;Veroeffentlichungs-Nummer;Erfinder;Anmelder/Inhaber
2574;WO002019112713A1;GUPTA AMIT, IN;MASTERCARD INTERNATIONAL INC, US
2575;WO002019112713A1;TRIVEDI SHASHANK, IN;MASTERCARD INTERNATIONAL INC, US
2576;WO002019111125A1;BARTOLUCCI SILVIA, GB;NCHAIN HOLDINGS LTD, AG
2577;WO002019111125A1;BERNAT PAULINE, GB;NCHAIN HOLDINGS LTD, AG
2578;WO002019111125A1;JOSEPH DANIEL, GB;NCHAIN HOLDINGS LTD, AG
2579;WO002019108356A1;IBRAHIM WAEL, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2580;WO002019106512A1;WRIGHT CRAIG STEVEN, GB;NCHAIN HOLDINGS LTD, AG
2581;WO002019101724A1;DANIEL JOSHUA, GB;BRITISH TELECOMM, GB
2582;WO002019101724A1;MONTEATH IAIN, GB;BRITISH TELECOMM, GB
2583;WO002019101724A1;TATE JONATHAN, GB;BRITISH TELECOMM, GB
2584;WO002019101246A2;LU XUMING, CN;ALIBABA GROUP HOLDING LTD, CN
2585;WO002019101246A2;SHEN CHAO, CN;ALIBABA GROUP HOLDING LTD, CN
2586;WO002019101246A2;ZHANG WENBIN, CN;ALIBABA GROUP HOLDING LTD, CN
2587;WO002019101244A2;YANG DAYI, CN;ALIBABA GROUP HOLDING LTD, CN
2588;WO002019101242A2;YANG DAYI, CN;ALIBABA GROUP HOLDING LTD, CN
2589;WO002019101240A2;ZHOU ZHIYUAN, CN;ALIBABA GROUP HOLDING LTD, CN
2590;WO002019101239A2;CHENG LONG, CN;ALIBABA GROUP HOLDING LTD, CN
2591;WO002019101239A2;LI YANPENG, CN;ALIBABA GROUP HOLDING LTD, CN
2592;WO002019101237A2;CHENG LONG, CN;ALIBABA GROUP HOLDING LTD, CN
2593;WO002019101237A2;FENG ZHIYUAN, CN;ALIBABA GROUP HOLDING LTD, CN
2594;WO002019101237A2;LI YANPENG, CN;ALIBABA GROUP HOLDING LTD, CN
2595;WO002019101235A2;MA YU, CN;ALIBABA GROUP HOLDING LTD, CN
2596;WO002019101234A2;QIU HONGLIN, CN;ALIBABA GROUP HOLDING LTD, CN
2597;WO002019101234A2;ZHUO HAIZHEN, CN;ALIBABA GROUP HOLDING LTD, CN
2598;WO002019101233A2;LI YANPENG, CN;ALIBABA GROUP HOLDING LTD, CN
2599;WO002019101232A2;CHENG LONG, CN;ALIBABA GROUP HOLDING LTD, CN
2600;WO002019101232A2;LI YANPENG, CN;ALIBABA GROUP HOLDING LTD, CN
2601;WO002019101231A2;CHENG LONG, CN;ALIBABA GROUP HOLDING LTD, CN
2602;WO002019101231A2;LI YANPENG, CN;ALIBABA GROUP HOLDING LTD, CN
2603;WO002019101230A2;ZHANG WENBIN, CN;ALIBABA GROUP HOLDING LTD, CN
2604;WO002019101229A2;ZHANG WENBIN, CN;ALIBABA GROUP HOLDING LTD, CN
2605;WO002019101228A2;CHENG LONG, CN;ALIBABA GROUP HOLDING LTD, CN
2606;WO002019101228A2;LI YANPENG, CN;ALIBABA GROUP HOLDING LTD, CN
2607;WO002019099441A1;ARORA SHUBHAM, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
2608;WO002019099441A1;CALES LORI, US;AMERICAN EXPRESS TRAVEL RELATED SERVICES CO INC, US
